2019 Input-Output Analytical Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Input-Output table (domestic use, basic prices, industry by industry), £ million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIC,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C254,C25OTHER,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I56,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,_T,P3 S1,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,TU,,,,,,
C102_3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",8,0,0,0,5,4,2,38,567,1,30,47,171,726,12,80,151,3,0,0,3,5,2,3,1,2,1,1,5,0,6,7,5,1,2,2,3,4,42,28,90,26,2,6,0,5,3,0,0,1,8,2,3,0,4,0,27,87,29,108,64,191,7,6,187,12,372,845,56,18,8,46,6,54,7,5,1,1,31,2,2,3,7,6,8,11,1,2,9,7,2,12,138,36,207,122,169,5,0,15,84,10,12,9,0,"5,171","2,919",2,"2,916",1,31,16,0,938,400,151,"9,626",,,,,,
C104,Manufacture of vegetable and animal oils and fats,0,0,0,0,1,0,0,1,18,0,0,51,61,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,0,9,0,0,0,1,10,145,1,1,1,3,0,5,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1,16,9,19,0,0,1,6,1,1,0,0,462,178,0,178,0,2,-11,0,138,26,9,803,,,,,,
C105,Manufacture of dairy products,10,0,0,0,5,2,2,31,33,1,655,14,412,311,2,27,4,1,0,0,3,5,3,4,1,0,0,0,4,0,5,7,2,0,1,3,3,2,13,9,12,6,0,3,0,2,2,0,0,0,7,0,3,0,3,0,14,83,4,94,3,104,13,5,101,11,195,470,53,16,7,43,4,30,3,27,0,0,25,0,0,1,2,3,6,7,0,0,8,7,2,12,5,7,171,48,48,5,0,24,55,8,14,9,0,"3,366","4,506",0,"4,505",0,16,352,0,"1,132",382,152,"9,905",,,,,,
C106,"Manufacture of grain mill products, starches and starch products",7,0,1,0,1,0,0,171,26,2,2,565,682,153,587,501,4,1,0,0,1,4,1,1,2,1,1,0,6,0,1,8,1,0,1,0,0,1,4,1,7,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,6,6,2,18,0,13,0,1,5,1,16,429,3,2,1,5,0,7,0,2,0,0,19,0,2,1,3,5,0,1,0,0,1,0,0,1,9,7,112,36,88,1,0,2,29,1,1,1,0,"3,598","1,399",0,"1,399",0,20,99,0,722,296,66,"6,200",,,,,,
C107,Manufacture of bakery and farinaceous products,12,1,0,0,5,3,4,42,29,3,12,35,171,272,23,56,19,3,0,0,6,6,4,3,1,1,2,1,5,0,10,8,3,0,1,2,2,1,54,37,107,30,1,5,0,6,1,0,0,0,9,3,5,0,5,0,15,110,3,111,6,238,17,6,240,17,173,"1,342",68,20,9,53,5,31,5,15,0,1,33,1,1,1,3,8,8,9,1,1,12,9,2,15,69,5,186,90,140,6,1,14,77,10,17,16,0,"4,227","4,919",0,"4,918",1,31,33,0,605,320,154,"10,289",,,,,,
C108,Manufacture of other food products,10,1,1,0,5,5,4,423,214,4,89,319,502,"1,645",54,75,325,4,1,2,13,10,9,3,1,38,2,2,5,1,8,13,6,2,4,3,5,9,39,28,81,32,1,10,1,5,4,0,0,2,9,1,3,0,8,0,49,75,59,94,12,153,9,6,142,11,324,"2,368",44,23,9,39,5,66,10,33,0,1,41,1,3,1,12,26,5,8,1,2,8,7,1,32,39,31,315,225,403,20,1,24,131,27,10,25,0,"8,975","5,553",3,"5,549",2,99,4,0,"2,486","1,472",325,"18,915",,,,,,
C109,Manufacture of prepared animal feeds,"1,469",1,247,0,2,1,1,14,8,0,6,13,18,18,"1,039",7,3,1,1,1,5,5,4,1,1,2,1,1,4,0,5,6,2,2,3,1,2,6,4,4,10,12,1,6,0,2,2,0,0,1,3,0,0,0,2,0,36,3,10,6,1,6,1,1,4,1,8,47,5,27,1,4,1,3,1,2,0,1,32,1,0,1,5,6,1,2,1,1,0,0,0,2,4,11,12,23,7,11,4,3,35,15,0,1,0,"3,293","2,502",2,"2,500",0,38,66,0,569,363,162,"6,994",,,,,,
C1101T1106 & C12,Manufacture of alcoholic beverages  & Tobacco Products,12,1,1,0,4,2,1,12,7,1,7,9,11,14,9,223,5,3,2,0,4,7,5,2,1,3,3,2,5,1,10,8,4,3,6,2,2,13,7,7,18,24,2,11,1,3,4,0,0,3,5,1,1,0,3,0,68,4,22,13,1,9,1,3,7,1,656,"2,341",7,8,3,7,2,6,1,3,0,1,4,1,1,2,6,6,2,3,1,2,1,1,0,3,5,23,17,39,9,1,1,1,4,2,0,3,0,"3,799","4,498",2,"4,495",1,64,-23,0,873,"1,484",337,"11,030",,,,,,
C1107,Manufacture of soft drinks; production of mineral waters and other bottled waters,1,0,0,0,0,1,0,3,11,0,2,7,11,41,0,14,260,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1,1,3,2,0,1,0,1,1,0,0,0,1,1,0,0,1,0,20,6,23,41,1,12,4,3,12,1,161,"1,006",3,382,4,9,0,41,4,15,1,1,37,5,3,3,4,1,5,3,0,2,1,1,0,1,7,20,75,18,60,1,19,11,43,13,0,3,0,"2,463","2,620",0,"2,616",4,29,82,0,324,142,237,"5,898",,,,,,
C13,Manufacture Of Textiles  ,8,0,0,0,3,1,1,6,4,0,4,2,6,6,2,3,5,2,178,0,2,7,9,1,1,5,2,1,6,0,6,11,2,1,2,1,2,8,6,4,10,132,1,8,0,4,35,0,0,5,4,2,0,0,6,0,245,3,220,24,3,8,1,1,7,1,3,18,20,4,3,6,4,13,5,6,1,6,19,3,1,2,4,11,2,122,1,2,1,2,0,6,3,46,62,116,7,2,1,1,6,3,0,50,0,"1,595","2,506",1,"2,505",1,678,-5,4,"1,169",707,394,"7,049",,,,,,
